Date,Open,High,Low,Close,Adj Close,Volume
2016-01-12,145.000000,199.000000,141.000000,173.000000,173.000000,25182100
2016-01-13,174.000000,179.000000,158.000000,161.000000,161.000000,7038900
2016-01-14,159.000000,159.000000,145.000000,145.000000,145.000000,2414200
2016-01-15,145.000000,145.000000,133.000000,134.000000,134.000000,855100
2016-01-18,134.000000,174.000000,123.000000,128.000000,128.000000,11292700
2016-01-19,129.000000,145.000000,127.000000,128.000000,128.000000,878100
2016-01-20,133.000000,133.000000,124.000000,125.000000,125.000000,950100
2016-01-21,125.000000,138.000000,121.000000,124.000000,124.000000,640600
2016-01-22,130.000000,130.000000,122.000000,127.000000,127.000000,407700
2016-01-25,124.000000,130.000000,122.000000,124.000000,124.000000,281600
2016-01-26,126.000000,130.000000,123.000000,124.000000,124.000000,299400
2016-01-27,126.000000,126.000000,119.000000,124.000000,124.000000,241900
2016-01-28,124.000000,124.000000,112.000000,116.000000,116.000000,263300
2016-01-29,118.000000,119.000000,113.000000,116.000000,116.000000,47500
2016-02-01,118.000000,118.000000,106.000000,115.000000,115.000000,105500
2016-02-02,116.000000,116.000000,110.000000,110.000000,110.000000,1479900
2016-02-03,118.000000,118.000000,101.000000,107.000000,107.000000,120600
2016-02-04,105.000000,112.000000,105.000000,111.000000,111.000000,262900
2016-02-05,111.000000,116.000000,111.000000,112.000000,112.000000,98800
2016-02-09,120.000000,121.000000,113.000000,120.000000,120.000000,223600
2016-02-10,120.000000,120.000000,117.000000,117.000000,117.000000,17700
2016-02-11,117.000000,125.000000,115.000000,125.000000,125.000000,150400
2016-02-12,125.000000,130.000000,120.000000,120.000000,120.000000,160900
2016-02-15,125.000000,125.000000,120.000000,120.000000,120.000000,131200
2016-02-16,125.000000,125.000000,112.000000,120.000000,120.000000,344600
2016-02-17,115.000000,120.000000,115.000000,120.000000,120.000000,1000
2016-02-18,119.000000,125.000000,117.000000,118.000000,118.000000,57700
2016-02-19,110.000000,117.000000,110.000000,117.000000,117.000000,3100
2016-02-22,110.000000,120.000000,109.000000,110.000000,110.000000,282400
2016-02-23,107.000000,126.000000,106.000000,117.000000,117.000000,166400
2016-02-24,106.000000,122.000000,106.000000,119.000000,119.000000,64900
2016-02-25,119.000000,120.000000,116.000000,119.000000,119.000000,51100
2016-02-26,119.000000,122.000000,116.000000,116.000000,116.000000,171400
2016-02-29,117.000000,119.000000,116.000000,116.000000,116.000000,89900
2016-03-01,117.000000,119.000000,114.000000,114.000000,114.000000,134300
2016-03-02,120.000000,121.000000,119.000000,121.000000,121.000000,241200
2016-03-03,122.000000,125.000000,120.000000,125.000000,125.000000,121400
2016-03-04,126.000000,127.000000,123.000000,127.000000,127.000000,135000
2016-03-07,128.000000,130.000000,125.000000,125.000000,125.000000,135000
2016-03-08,127.000000,133.000000,126.000000,128.000000,128.000000,64800
2016-03-10,128.000000,130.000000,128.000000,128.000000,128.000000,157100
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,132.000000,133.000000,132.000000,133.000000,133.000000,11400
2016-03-16,133.000000,135.000000,131.000000,133.000000,133.000000,70300
2016-03-17,134.000000,139.000000,134.000000,134.000000,134.000000,12400
2016-03-18,137.000000,138.000000,136.000000,136.000000,136.000000,22500
2016-03-21,136.000000,145.000000,136.000000,140.000000,140.000000,30900
2016-03-22,135.000000,139.000000,135.000000,135.000000,135.000000,43000
2016-03-23,140.000000,140.000000,136.000000,136.000000,136.000000,39800
2016-03-24,138.000000,138.000000,137.000000,138.000000,138.000000,64400
2016-03-28,141.000000,142.000000,138.000000,138.000000,138.000000,97600
2016-03-29,148.000000,148.000000,137.000000,137.000000,137.000000,34600
2016-03-30,142.000000,142.000000,137.000000,137.000000,137.000000,8200
2016-03-31,145.000000,145.000000,134.000000,138.000000,138.000000,121400
2016-04-01,138.000000,138.000000,138.000000,138.000000,138.000000,4500
2016-04-04,145.000000,145.000000,138.000000,138.000000,138.000000,100600
2016-04-05,138.000000,138.000000,138.000000,138.000000,138.000000,24800
2016-04-06,138.000000,141.000000,138.000000,139.000000,139.000000,97300
2016-04-07,139.000000,139.000000,139.000000,139.000000,139.000000,66300
2016-04-08,140.000000,140.000000,140.000000,140.000000,140.000000,45000
2016-04-11,null,null,null,null,null,null
2016-04-12,140.000000,140.000000,140.000000,140.000000,140.000000,21500
2016-04-13,null,null,null,null,null,null
2016-04-14,null,null,null,null,null,null
2016-04-15,null,null,null,null,null,null
2016-04-18,null,null,null,null,null,null
2016-04-19,140.000000,140.000000,140.000000,140.000000,140.000000,0
2016-04-20,141.000000,141.000000,141.000000,141.000000,141.000000,100
2016-04-21,141.000000,143.000000,138.000000,138.000000,138.000000,117500
2016-04-22,138.000000,138.000000,138.000000,138.000000,138.000000,0
2016-04-25,140.000000,140.000000,140.000000,140.000000,140.000000,25000
2016-04-26,140.000000,140.000000,139.000000,140.000000,140.000000,70700
2016-04-27,138.000000,138.000000,137.000000,137.000000,137.000000,40300
2016-04-28,137.000000,137.000000,137.000000,137.000000,137.000000,29200
2016-04-29,137.000000,137.000000,134.000000,134.000000,134.000000,98500
2016-05-02,141.000000,141.000000,137.000000,140.000000,140.000000,119600
2016-05-03,141.000000,142.000000,139.000000,142.000000,142.000000,353700
2016-05-04,142.000000,150.000000,142.000000,142.000000,142.000000,53500
2016-05-09,142.000000,142.000000,140.000000,142.000000,142.000000,82400
2016-05-10,140.000000,140.000000,140.000000,140.000000,140.000000,2000
2016-05-11,142.000000,142.000000,140.000000,142.000000,142.000000,25500
2016-05-12,140.000000,140.000000,139.000000,139.000000,139.000000,41400
2016-05-13,139.000000,143.000000,139.000000,139.000000,139.000000,16600
2016-05-16,140.000000,140.000000,139.000000,139.000000,139.000000,65000
2016-05-17,142.000000,142.000000,139.000000,139.000000,139.000000,5200
2016-05-18,138.000000,138.000000,137.000000,137.000000,137.000000,54100
2016-05-19,138.000000,138.000000,138.000000,138.000000,138.000000,700
2016-05-20,138.000000,138.000000,138.000000,138.000000,138.000000,0
2016-05-23,139.000000,139.000000,139.000000,139.000000,139.000000,6400
2016-05-24,139.000000,139.000000,139.000000,139.000000,139.000000,22200
2016-05-25,140.000000,140.000000,140.000000,140.000000,140.000000,100
2016-05-26,140.000000,141.000000,140.000000,141.000000,141.000000,200
2016-05-27,141.000000,141.000000,141.000000,141.000000,141.000000,0
2016-05-30,142.000000,142.000000,142.000000,142.000000,142.000000,100
2016-05-31,140.000000,145.000000,140.000000,145.000000,145.000000,16000
2016-06-01,140.000000,145.000000,140.000000,145.000000,145.000000,200
2016-06-02,145.000000,145.000000,145.000000,145.000000,145.000000,0
2016-06-03,144.000000,144.000000,144.000000,144.000000,144.000000,15000
2016-06-06,144.000000,144.000000,144.000000,144.000000,144.000000,15600
2016-06-07,144.000000,144.000000,144.000000,144.000000,144.000000,15100
2016-06-08,147.000000,147.000000,144.000000,144.000000,144.000000,80500
2016-06-09,144.000000,144.000000,144.000000,144.000000,144.000000,10000
2016-06-10,144.000000,144.000000,144.000000,144.000000,144.000000,13300
2016-06-13,144.000000,144.000000,144.000000,144.000000,144.000000,15000
2016-06-14,144.000000,144.000000,144.000000,144.000000,144.000000,1000
2016-06-15,143.000000,143.000000,142.000000,142.000000,142.000000,15700
2016-06-16,142.000000,143.000000,142.000000,143.000000,143.000000,8000
2016-06-17,143.000000,143.000000,143.000000,143.000000,143.000000,100
2016-06-20,143.000000,143.000000,143.000000,143.000000,143.000000,11000
2016-06-21,143.000000,143.000000,143.000000,143.000000,143.000000,0
2016-06-22,143.000000,143.000000,143.000000,143.000000,143.000000,5000
2016-06-23,143.000000,143.000000,141.000000,141.000000,141.000000,26400
2016-06-24,141.000000,141.000000,141.000000,141.000000,141.000000,5000
2016-06-27,144.000000,144.000000,144.000000,144.000000,144.000000,28300
2016-06-28,147.000000,147.000000,146.000000,146.000000,146.000000,34000
2016-06-29,146.000000,147.000000,146.000000,147.000000,147.000000,25300
2016-06-30,155.000000,160.000000,155.000000,160.000000,160.000000,200
2016-07-01,160.000000,160.000000,160.000000,160.000000,160.000000,0
2016-07-11,158.000000,158.000000,156.000000,156.000000,156.000000,23500
2016-07-12,157.000000,157.000000,156.000000,156.000000,156.000000,20000
2016-07-13,153.000000,155.000000,153.000000,153.000000,153.000000,32000
2016-07-14,153.000000,153.000000,152.000000,152.000000,152.000000,800
2016-07-15,152.000000,152.000000,152.000000,152.000000,152.000000,0
2016-07-18,160.000000,160.000000,155.000000,155.000000,155.000000,11500
2016-07-19,155.000000,155.000000,155.000000,155.000000,155.000000,0
2016-07-20,154.000000,154.000000,154.000000,154.000000,154.000000,2200
2016-07-21,154.000000,154.000000,154.000000,154.000000,154.000000,200
2016-07-22,154.000000,154.000000,154.000000,154.000000,154.000000,0
2016-07-25,154.000000,154.000000,154.000000,154.000000,154.000000,0
2016-07-26,154.000000,154.000000,154.000000,154.000000,154.000000,0
2016-07-27,155.000000,158.000000,155.000000,155.000000,155.000000,45000
2016-07-28,155.000000,155.000000,155.000000,155.000000,155.000000,0
